"laufnummer","id_modulgruppe","semester"
"B-LS-BZ 014","59","4"
"M-SLS-MSc BECS3","134",
"B-LS-MI 001","53",
"B-LS-MT 013","63",
"B-LS-MI 006","115","4"
"B-LS-MT 003","56",
"B-LS-KT 012","124",
"B-LS-CB 027","97",
"B-LS-KT 008","124",
"B-LS-MT 004","56",
"B-LS-CH 046","101",
"M-SLS-MSc 0010","134",
"B-LS-MT 015","63",
"B-LS-KT 004","101",
"B-LS-MI 008","115","4"
"B-LS-UT 008","105",
"B-LS-UT 019","105",
"B-LS-CH 004","144",
"B-LS-MT 024","63",
"B-LS-UT 027","63",
"B-LS-KT 022","90",
"B-LS-BZ 005","128",
"B-LS-MT 005","54",
"MAS-U-F 00 020","61",
"B-LS-UT 021","145",
"B-LS-KT 040","169",
"B-LS-MT 006","63",
"B-LS-BZ 002","112",
"M-SLS-MSc BECS2","134",
"B-LS-CB 024","91","4"
"M-SLS-MSc BP5","137",
"B-LS-UT 023","92",
"B-LS-BZ 036","107",
"B-LS-PT 005","112",
"B-LS-UT 022","105",
"B-LS-MT 007","63",
"B-LS-BZ 040","103",
"B-LS-CH 019","106",
"B-LS-UT 003","112",
"B-LS-MI 003","58",
"B-LS-UT 020","112",
"B-LS-BZ 033","107",
"B-LS-UT 027","112",
"B-LS-MT 008","63",
"B-LS-MT 002","56",
"B-LS-UT 030","99",
"B-LS-KT 030","105",
"B-LS-MT 009","63",
"B-LS-BZ 039","139",
"MAS-U-F 00 030","61",
"MAS-U-F 00 040","61",
"MAS-U-F 00 050","61",
"MAS-U-T 01 010","62",
"M-SLS-MSc 0000","134",
"M-SLS-MSc B1","137",
"M-SLS-MSc 0230","134",
"M-SLS-MSc 0230","135",
"M-SLS-MSc B1","135",
"M-SLS-MSc B1","136",
"M-SLS-MSc B1","138",
"M-SLS-MSc B1","134",
"M-SLS-MSc B2","137",
"M-SLS-MSc B2","135",
"M-SLS-MSc B2","136",
"M-SLS-MSc B3","138",
"M-SLS-MSc B2","134",
"M-SLS-MSc B3","135",
"M-SLS-MSc B3","137",
"M-SLS-MSc B3","134",
"M-SLS-MSc B4","138",
"M-SLS-MSc B3","136",
"M-SLS-MSc B4","135",
"M-SLS-MSc B4","136",
"M-SLS-MSc B4","137",
"M-SLS-MSc BECS1","134",
"M-SLS-MSc B4","134",
"M-SLS-MSc BECS4","137",
"M-SLS-MSc BECS3","136",
"M-SLS-MSc BP3","136",
"M-SLS-MSc BECS4","134",
"M-SLS-MSc BECS4","135",
"M-SLS-MSc BP3","137",
"M-SLS-MSc BP5","136",
"M-SLS-MSc BP6","137",
"M-SLS-MSc BP6","136",
"M-SLS-MSc C1","135",
"M-SLS-MSc C1","137",
"M-SLS-MSc C2","134",
"M-SLS-MSc D1","134",
"M-SLS-MSc D1","135",
"M-SLS-MSc D2","135",
"M-SLS-MSc D2","136",
"M-SLS-MSc D2","134",
"M-SLS-MSc D3","134",
