bemerkungen,kreditpunkte,laufnummer,modulbezeichnung,modulbezeichnung_alternativ,kuerzel,semester,id_niveau,stichwoerter,id_sprache,letzte_aenderung,anzahl_durchfuehrungen,id_leistungsnachweis,lerninhalte,aktiv,stundenplanrelevant,summerschool,id_modus,id_herkunft,neu,winterschool,bibliographie,raumanforderung,id_methode,bonus,vorschlagsnote_anteil,zwischenpruefungen_anteil,msp,schlusspruefung_anteil,praktische_arbeit_anteil,id_modultyp,min_studis,max_studis,studis_geschaetzt,modulnummer
,3,B-LS-PT 001,Anlagenplanung u -technik,Anlagenplanung und Anlagentechnik,AP&T,3,,"Technisches Projektmanagement, Planungsphasen und Inhalte / Darstellungen in Verfahrens- und R&I-Fliessbildern / Aufstellungsplanung / Sicherheitstechnik und Explosionsschutz / Werkstoffauswahl / Apparateauswahl und -auslegung / Behälter und Rührreaktoren / Auslegung von Rohrleitungen und Rohrleitungselementen / Rohrleitungs- und Anlagenkennlinien /  Prozesstechnische Maschinen wie Pumpen und Verdichter / Schallschutz / Schall- und Wärmedämmung.",1,2021-12-02,1,52,"<ul>
 <li><font face=Arial size=2>Einführung in die Anlagenplanung und -technik</font></li>
 <ul>
  <li><font face=Arial size=2>Projektmanagement im Anlagenbau</font></li>
  <li><font face=Arial size=2>Phasen der Planung und Vorgehensweise</font></li>
 </ul>
 <li><font face=Arial size=2>Darstellungen prozesstechnischer Anlagen</font></li>
 <ul>
  <li><font face=Arial size=2>Verfahrensfliessbilder</font></li>
  <li><font face=Arial size=2>R&amp;I Schemata</font></li>
 </ul>
 <li><font face=Arial size=2>Aufstellungsplanung</font></li>
 <ul>
  <li><font face=Arial size=2>Allgemeine Anforderungen</font></li>
  <li><font face=Arial size=2>Material- und Personalfluss</font></li>
  <li><font face=Arial size=2>GMP</font></li>
 </ul>
 <li><font face=Arial size=2>Sicherheitstechnik, Explosionsschutz</font></li>
 <li><font face=Arial size=2>Apparateauswahl und -auslegung</font></li>
 <ul>
  <li><font face=Arial size=2>Behälter</font></li>
  <li><font face=Arial size=2>Reaktoren</font></li>
 </ul>
 <li><font face=Arial size=2>Rohrleitungsauswahl und -auslegung</font></li>
 <ul>
  <li><font face=Arial size=2>Druckverlustberechnung, Förderhöhe</font></li>
  <li><font face=Arial size=2>Anlagenkennlinien</font></li>
  <li><font face=Arial size=2>Rohrleitungselemente, wie z.B. Flansche, Schrauben, Dichtungen</font></li>
  <li><font face=Arial size=2>Wärmeisolierungen</font></li>
 </ul>
 <li><font face=Arial size=2>Ventile und Armaturen</font></li>
 <li><font face=Arial size=2>Grundtypen prozesstechnischer Maschinen</font></li>
 <ul>
  <li><font face=Arial size=2>Pumpen</font></li>
  <li><font face=Arial size=2>Verdichter</font></li>
  <li><font face=Arial size=2>Turbinen</font></li>
  <li><font face=Arial size=2>Motoren</font></li>
 </ul>
 <li><font face=Arial size=2>Schallschutz und -dämmung</font></li>
 <li><font face=Arial size=2>Rohrleitungen und Rohrleitungselemente für klimatechnische Anlagen</font><font
     size=2>&nbsp;</font></li>
</ul>",t,t,f,2,PT,f,f,,,,f,,,,100,,1,1,40,30,49
,3,M-SLS-MSc B2,Management and Leadership for Life Sciences,,MLLS,2,,,,2021-05-04,2,,,t,t,f,17,,f,f,,,,f,,,,,,2,1,400,40,5
"soll zeitgleich mit TOEFL stattfinden (beide werden von in einem Kurs von A.Brown durchgeführt)
Idealerweise   parallel zu Basic English (abends MO oder Do)",0,B-LS-KT 017,IELTS or TOEFL Preparation,IELTS or TOEFL Preparation,IETOP,5,,"A thorough preparation for the IELTS or the TOEFL examination These examinations are often required by universities for non-native English-speaking students wishing to take a postgraduate degree in the UK, Australia, USA and elsewhere. The exams test reading, writing, listening and speaking and are taken on a computer via the internet. The course involves two class sessions per week, plus compulsory homework assignments. Towards the end of the course there is a mock exam - either IELTS or TOEFL - to indicate to students what might be a realistic mark. The course evaluation is based on this mock exam.",2,2021-06-14,1,51,"<ul>
 <li><font face=Arial size=2>Presentation, familiarisation &amp; practice of all 4 sections of IELTS exam</font></li>
 <li><font face=Arial size=2>Frequent evaluation using real IELTS exams to give students a clear idea of their readiness for the exam</font></li>
 <li><font face=Arial size=2>Grammar &amp; vocabulary input on Moodle; lecturer support as required</font><font
     size=2>&nbsp;</font></li>
</ul>",f,f,f,1,KT,f,f,,,,f,,,,100,,1,1,15,10,365
"",3,B-LS-BZ 005,Biochemie,Biochemie,BC,3,,"Struktur und Funktion von Biomolekülen (Proteine, Polysaccharide) / Proteinanalytische Techniken (SDS-PAGE) und Proteinreinigung / Enzymkinetik / Metabolismus: Glykolyse, Citratzyklus, Fettsäureoxidation, Elektronentransport und Atmungskette, ATP-Synthese / Kohlenhydrate / Biochemie der Signaltransduktion.",1,2021-12-02,1,52,"<ul>
 <li><font face=Arial size=2>Die Struktur von Proteinen</font></li>
 <li><font face=Arial size=2>Einführung in die Proteinanalytik und die Proteinreinigung</font></li>
 <li><font face=Arial size=2>Enzyme, Enzymkinetik, Michaelis-Menten-Gleichung</font></li>
 <li><font face=Arial size=2>enzymatische Mechanismen und das aktive Zentrum eines Enzyms</font></li>
 <li><font face=Arial size=2>Coenzyme und Vitamine</font></li>
 <li><font face=Arial size=2>Metabolismus: Glykolyse, Citratzyklus, Fettsäureoxidation, Atmungskette</font></li>
 <li><font face=Arial size=2>Disaccharide und Polysaccharide</font><font
     size=2> </font></li>
 <li><font face=ArialMT size=2 color='"#242732'">S</font><font face=ArialMT
     size=2>ignaltransduktion</font><font size=2>&nbsp;</font></li>
</ul>",t,t,f,3,BZ,f,f,,,,f,,,,100,,1,1,90,53,288
"",20,MAS-U-T 01 010,Master-Thesis MAS-U,,MTU,2,,,,2018-04-26,1,,,t,f,f,,,f,f,,,,f,,,,,,7,1,400,,2
,10,MAS-U-F 00 040,Umweltrecht und Vollzug,,UV,1,,,1,2021-05-17,1,,,f,f,f,28,,f,f,,,,f,,,,,,1,1,400,1,10
,20,B-LS-MI 025,Bachelor-Arbeit MI,Bachelor-Arbeit MI,BScTMI,6,,,,2021-05-22,1,27,,t,f,f,11,MI,f,f,,,,f,,,,,100,5,1,25,,11
,10,B-LS-PT 024,Praxisprojekt PT,Praxisprojekt PT,PrxPPT,6,,,3,2021-05-22,1,27,,t,f,f,,PT,f,f,,,,f,,,,,100,4,1,20,12,6
,40,M-SLS-MSc 0230,Master Thesis MScLS,,MTLS,3,,,,2021-05-05,1,,,t,f,f,,,f,f,,,,f,,,,,,7,1,400,,8
,30,B-LS-BZ 300,"Bachelor-Arbeit BZ, lang","Bachelor-Arbeit BZ, lang",BSTBZa,6,,,3,2021-10-22,1,27,,t,f,f,11,BZ,f,f,,,,f,,,,,100,6,1,50,,433
