"id_spezialisierung","laufnummer","pflicht"
"12","B-LS-CH 004","f"
"12","B-LS-BZ 039","f"
"12","B-LS-KT 007","f"
"12","B-LS-KT 025","f"
"12","B-LS-MI 001","f"
"12","B-LS-KT 026","f"
"12","B-LS-KT 029a","f"
"12","B-LS-KT 036a","f"
"12","B-LS-KT 028","f"
"12","B-LS-CH 005","f"
"12","B-LS-KT 016a","f"
"12","B-LS-PT 004","f"
"12","B-LS-PT 005","f"
"12","B-LS-PT 013","f"
"12","B-LS-CH 001","f"
"12","B-LS-KT 011","f"
"12","B-LS-KT 014","f"
"12","B-LS-MI 005","f"
"12","B-LS-KT 039","f"
"12","B-LS-BZ 006","f"
"12","B-LS-BZ 028","f"
"12","B-LS-BZ 30","f"
"12","B-LS-BZ 031","f"
"12","B-LS-BZ 009","f"
"12","B-LS-BZ 015","f"
"12","B-LS-BZ 034","f"
"12","B-LS-BZ 024","f"
"12","B-LS-BZ 004","f"
"12","B-LS-BZ 037","f"
"12","B-LS-BZ 013","f"
"12","B-LS-BZ 020","f"
"12","B-LS-BZ 029","f"
"12","B-LS-BZ 018","f"
"12","B-LS-BZ 010","f"
"12","B-LS-BZ 025","f"
"12","B-LS-BZ 016","f"
"12","B-LS-BZ 011","f"
"12","B-LS-BZ 026","f"
"12","B-LS-BZ 021","f"
"12","B-LS-BZ 027","f"
"12","B-LS-BZ 030","f"
"12","B-LS-BZ 014","f"
"12","B-LS-BZ 043","f"
"12","B-LS-BZ 007","f"
"12","B-LS-BZ 008","f"
"12","B-LS-BZ 005","f"
"12","B-LS-BZ 036","f"
"12","B-LS-BZ 022","f"
"12","B-LS-BZ 041","f"
"12","B-LS-UT 005","f"
"12","B-LS-BZ 033","f"
"12","B-LS-CH 013","f"
"12","B-LS-PT 010","f"
"5","B-LS-KT 012","f"
"5","B-LS-KT 008","f"
"5","B-LS-BZ 005","f"
"5","B-LS-CB 009","f"
"5","B-LS-CB 027","f"
"5","B-LS-CH 013","f"
"5","B-LS-CB 016","f"
"5","B-LS-CB 007","f"
"5","B-LS-CB 008","f"
"5","B-LS-KT 024","f"
"5","B-LS-CB 031","f"
"5","B-LS-CB 020","f"
"5","B-LS-KT 029","f"
"5","B-LS-CB 030","f"
"5","B-LS-CB 029","f"
"5","B-LS-KT 016","f"
"5","B-LS-CB 001","f"
"5","B-LS-CB 002a","f"
"5","B-LS-KT 036a","f"
"5","B-LS-CB 025","f"
"5","B-LS-CB 026","f"
"5","B-LS-MI 001a","f"
"5","B-LS-KT 039","f"
"5","B-LS-MI 002","f"
"5","B-LS-KT 023","f"
"5","B-LS-CB 022","f"
"5","B-LS-CB 019","f"
"5","B-LS-CB 012","f"
"5","B-LS-CB 006","t"
"5","B-LS-CB 023","f"
"5","B-LS-KT 022","f"
"5","B-LS-KT 027","f"
