id_modulvoraussetzung,laufnummer,voraussetzung_laufnummer,bemerkung,ziel1,ziel2,ziel3,ziel4,ziel5
50,B-LS-UT 024,B-LS-UT 027,,t,t,t,t,t
8,B-LS-UT 024,B-LS-CH 001,,t,t,t,t,t
203,B-LS-PT 002,B-LS-BZ 001,,t,t,t,t,t
46,B-LS-MI 003,B-LS-MI 002,,t,t,t,t,t
65,B-LS-CH 008,B-LS-CH 003,,t,t,t,t,t
47,B-LS-MI 007,B-LS-MI 002,,t,t,t,t,t
52,B-LS-UT 012,B-LS-UT 028,,t,t,t,t,t
61,B-LS-BZ 019,B-LS-BZ 009,,t,t,t,,
11,B-LS-CH 004,B-LS-KT 039,,,,,,t
53,B-LS-UT 022,B-LS-UT 028,,t,t,t,t,t
15,B-LS-KT 023,B-LS-KT 039,,t,t,t,t,t
16,B-LS-KT 027,B-LS-KT 039,,t,t,t,t,t
21,B-LS-UT 024,B-LS-KT 039,,f,f,f,t,t
40,B-LS-MI 003,B-LS-MI 001,,t,t,t,t,t
42,B-LS-MI 007,B-LS-MI 001,,t,t,t,t,t
22,B-LS-CB 001,B-LS-KT 027,,t,f,f,f,t
204,B-LS-PT 002,B-LS-BZ 022,,t,t,t,f,f
59,B-LS-UT 005,B-LS-BZ 009,,t,t,t,t,t
100,B-LS-MT 009,B-LS-MT 007,,t,t,t,t,t
41,B-LS-MI 004,B-LS-MI 001,,t,t,t,t,t
5,B-LS-CH 011,B-LS-CH 001,,t,f,t,f,f
62,B-LS-UT 005,B-LS-BZ 009,,,,,,
13,B-LS-CH 011,B-LS-KT 039,,t,t,t,f,t
181,B-LS-MT 013,B-LS-KT 027,,t,t,t,t,t
182,B-LS-MT 013,B-LS-BZ 043,,t,t,t,t,t
183,B-LS-MT 013,B-LS-KT 022,,t,t,t,t,t
33,B-LS-BZ 003,B-LS-BZ 043,,t,t,t,,
43,B-LS-UT 012,B-LS-UT 008,,t,t,t,t,t
6,B-LS-CH 012,B-LS-CH 003,,t,t,t,t,t
63,B-LS-CB 001,B-LS-CB 012,,t,t,f,t,t
38,B-LS-CH 022,B-LS-CH 006,,t,f,f,t,t
184,B-LS-MT 013,B-LS-MT 006,,t,t,t,t,t
37,B-LS-CH 017,B-LS-CH 006,,t,t,t,,
56,B-LS-MT 019,B-LS-BZ 043,,f,f,t,f,t
185,B-LS-MT 020,B-LS-BZ 043,,t,t,t,t,t
60,B-LS-BZ 013,B-LS-BZ 009,,t,t,f,f,f
2,B-LS-CH 003,B-LS-CH 001,,,,,,
19,B-LS-PT 009,B-LS-KT 039,,t,t,t,t,f
187,B-LS-MT 020,B-LS-MT 005,,t,t,t,t,t
188,B-LS-MT 020,B-LS-KT 012,,t,t,t,t,t
189,B-LS-MT 020,B-LS-MT 012,,t,t,t,t,t
24,B-LS-CH 011,B-LS-CH 010,,t,t,t,t,t
39,B-LS-CH 027,B-LS-CH 006,,t,t,t,t,t
29,B-LS-MT 030,B-LS-KT 027,,t,t,t,t,t
14,B-LS-KT 004,B-LS-KT 039,,,,,t,t
58,B-LS-KT 016,B-LS-KT 036,,t,t,t,t,
57,B-LS-KT 036,B-LS-KT 014,,,t,t,t,
17,B-LS-MT 004,B-LS-KT 039,,,,,t,
27,B-LS-MT 004,B-LS-KT 027,,,,,t,
18,B-LS-PT 001,B-LS-KT 039,,t,t,t,,
205,B-LS-CH 012,B-LS-CH 002,,t,t,t,t,t
3,B-LS-CH 004,B-LS-CH 001,,f,f,t,f,f
31,B-LS-PT 009,B-LS-KT 027,,f,f,f,t,f
20,B-LS-PT 012,B-LS-KT 039,,t,t,t,t,f
32,B-LS-PT 012,B-LS-KT 027,,f,f,f,t,f
4,B-LS-CH 010,B-LS-CH 001,,f,f,t,f,f
25,B-LS-KT 023,B-LS-KT 022,,t,t,t,t,t
190,B-LS-CB 003,B-LS-BZ 017,,f,f,f,f,t
212,B-LS-MI 011,B-LS-KT 023,,t,t,t,t,t
192,B-LS-CB 003,B-LS-CB 020,,t,t,t,t,t
193,B-LS-CB 003,B-LS-BZ 013,,t,f,f,f,f
194,B-LS-CB 003,B-LS-BZ 010,,f,t,f,f,f
23,B-LS-CB 019,B-LS-KT 039,,t,f,f,t,f
206,B-LS-UT 001,B-LS-CB 012,,t,t,t,t,t
195,B-LS-CB 004,B-LS-BZ 017,,f,f,f,f,t
